id;name;description;category_code;active;price
1;Generic Steel Tuna;website calculating;cross-platform support;true;76190
2;wireless Chilean Peso Unidades de fomento;reboot;Dynamic magenta Track;true;28913
3;THX;Division;Steel;true;66812
4;networks infomediaries;partnerships throughput;Union transmitting;false;55080
5;initiative green;Malagasy Ariary Gloves;Drive neutral;false;4184
6;Business-focused;Computer Oklahoma Identity;throughput;false;46269
7;mobile distributed Dynamic;Sports Human New Mexico;yellow Awesome Wooden Shirt intangible;false;47574
8;Crossroad invoice;Liaison;Keyboard;false;88935
9;Ergonomic Concrete Ball SMS;Gorgeous Rubber Cheese quantifying;cross-platform;true;78011
10;online Forward;open-source;Computer efficient Sleek Soft Sausages;false;44109
